Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop2,Pop2P,Hsp1,Hsp1P,WNH,WNHP,BNH,BNHP,ANH,ANHP,ONH,ONHP,TwoPlNH,TwoPlNHP
2020,NTA2020,Brooklyn,BK0101,,Greenpoint,,0,"38,980",100,"6,007",15.4,"27,496",70.5,"1,025",2.6,"2,477",6.4,339,0.9,"1,636",4.2
2020,NTA2020,Brooklyn,BK0102,,Williamsburg,,0,"64,444",100,"17,012",26.4,"36,709",57,"2,340",3.6,"4,974",7.7,762,1.2,"2,647",4.1
2020,NTA2020,Brooklyn,BK0103,,South Williamsburg,,0,"47,703",100,"4,135",8.7,"39,714",83.3,"1,217",2.6,363,0.8,"1,329",2.8,945,2
2020,NTA2020,Brooklyn,BK0104,,East Williamsburg,,0,"52,998",100,"18,322",34.6,"20,363",38.4,"6,110",11.5,"5,817",11,526,1,"1,860",3.5
2020,NTA2020,Brooklyn,BK0201,,Brooklyn Heights,,0,"25,092",100,"1,961",7.8,"18,446",73.5,886,3.5,"2,282",9.1,161,0.6,"1,356",5.4
2020,NTA2020,Brooklyn,BK0202,,Downtown Brooklyn-DUMBO-Boerum Hill,,0,"40,968",100,"5,576",13.6,"19,213",46.9,"5,905",14.4,"7,606",18.6,394,1,"2,274",5.6
2020,NTA2020,Brooklyn,BK0203,,Fort Greene,,0,"32,938",100,"5,605",17,"11,355",34.5,"9,896",30,"3,916",11.9,382,1.2,"1,784",5.4
2020,NTA2020,Brooklyn,BK0204,,Clinton Hill,,0,"28,647",100,"3,464",12.1,"12,845",44.8,"7,574",26.4,"2,714",9.5,417,1.5,"1,633",5.7
2020,NTA2020,Brooklyn,BK0261,,Brooklyn Navy Yard,,6,5,100,4,80,1,20,0,,0,,0,,0,
2020,NTA2020,Brooklyn,BK0301,,Bedford-Stuyvesant (West),,0,"89,189",100,"16,636",18.7,"31,481",35.3,"30,805",34.5,"4,635",5.2,"1,537",1.7,"4,095",4.6
2020,NTA2020,Brooklyn,BK0302,,Bedford-Stuyvesant (East),,0,"84,653",100,"16,000",18.9,"14,587",17.2,"45,584",53.8,"3,311",3.9,964,1.1,"4,207",5
2020,NTA2020,Brooklyn,BK0401,,Bushwick (West),,0,"58,692",100,"31,063",52.9,"16,444",28,"4,054",6.9,"4,458",7.6,762,1.3,"1,911",3.3
2020,NTA2020,Brooklyn,BK0402,,Bushwick (East),,0,"62,049",100,"30,562",49.3,"11,438",18.4,"14,109",22.7,"2,944",4.7,822,1.3,"2,174",3.5
2020,NTA2020,Brooklyn,BK0471,,The Evergreens Cemetery,,7,6,100,2,33.3,1,16.7,0,,0,,0,,3,50
2020,NTA2020,Brooklyn,BK0501,,Cypress Hills,,0,"43,256",100,"29,424",68,"1,170",2.7,"6,989",16.2,"2,697",6.2,"1,508",3.5,"1,468",3.4
2020,NTA2020,Brooklyn,BK0502,,East New York (North),,0,"42,818",100,"16,225",37.9,880,2.1,"21,181",49.5,"1,708",4,740,1.7,"2,084",4.9
2020,NTA2020,Brooklyn,BK0503,,East New York-New Lots,,0,"53,004",100,"11,517",21.7,983,1.9,"36,530",68.9,636,1.2,606,1.1,"2,732",5.2
